Id,Category,Set,Question,Option1,Option2,Option3,Option4,Correct_Option
SPT1,Football,Level 1,How many players does a football team usually have on the field?,12,9,11,10,11
SPT2,Football,Level 1,Which part of the body is generally not allowed to touch the ball during play?,Chest,Foot,Hand,Head,Hand
SPT3,Football,Level 1,What is it called when a player scores a goal?,Run,Goal,Touchdown,Point,Goal
SPT4,Football,Level 1,Who is allowed to use their hands inside their own penalty area?,Goalkeeper,Striker,Defender,Midfielder,Goalkeeper
SPT5,Football,Level 1,How many halves are there in a standard football match?,1,2,4,3,2
SPT6,Football,Level 1,What color card is shown for a serious foul that sends a player off the field?,Red,Yellow,Blue,Green,Red
SPT7,Football,Level 1,What color card is usually a warning to a player?,White,Black,Yellow,Red,Yellow
SPT8,Football,Level 1,What is the main objective of football?,Hold the ball,Make passes,Score goals,Run fastest,Score goals
SPT9,Football,Level 1,Where does the match begin?,Goal area,Penalty area,Corner flag,Center circle,Center circle
SPT10,Football,Level 1,What is awarded when the ball completely crosses the goal line after touching a defender last?,Throw-in,Corner kick,Free kick,Penalty kick,Corner kick
SPT11,Football,Level 1,What is awarded when the ball goes out over the sideline?,Corner kick,Goal kick,Penalty,Throw-in,Throw-in
SPT12,Football,Level 1,Which player usually protects the goal?,Midfielder,Striker,Goalkeeper,Winger,Goalkeeper
SPT13,Football,Level 1,How many points is a goal worth in football?,1,5,3,2,1
SPT14,Football,Level 1,What happens if a player commits a foul?,Match ends,Goal awarded,Play stops,Team wins,Play stops
SPT15,Football,Level 1,What is a penalty kick?,A corner kick,A goal kick,A kick from the center,A kick from the penalty spot,A kick from the penalty spot
SPT16,Football,Level 1,What is the shape of a football?,Round,Oval,Triangle,Square,Round
SPT17,Football,Level 1,Which foot skill helps move the ball toward the goal?,Throwing,Dribbling,Catching,Blocking,Dribbling
SPT18,Football,Level 1,What is the area in front of the goal called?,Penalty area,Sideline,Corner area,Center circle,Penalty area
SPT19,Football,Level 1,What is the person who enforces the rules called?,Captain,Coach,Referee,Manager,Referee
