Id,Category,Set,Question,Option1,Option2,Option3,Option4,Correct_Option
ENG1,Part of Speech,Noun_1,Which word is a Noun (Naming Word)?,apple,quickly,happy,run,apple
ENG2,Part of Speech,Noun_1,Which word is a Noun (Naming Word)?,jump,blue,school,sing,school
ENG3,Part of Speech,Noun_1,Which word is a Noun (Naming Word)?,cat,fast,swim,beautiful,cat
ENG4,Part of Speech,Noun_1,Which word is a Noun (Naming Word)?,teacher,kind,read,slowly,teacher
ENG5,Part of Speech,Noun_1,Which word is a Noun (Naming Word)?,dance,loudly,strong,book,book
ENG6,Part of Speech,Noun_1,The _________ is barking loudly. (Noun),quickly,dog,run,happy,dog
ENG7,Part of Speech,Noun_1,I read a _________ before bedtime. (Noun),book,sing,blue,jump,book
ENG8,Part of Speech,Noun_1,We visited the _________ on Sunday. (Noun),play,nice,park,fast,park
ENG9,Part of Speech,Noun_1,The _________ shines at night. (Noun),swim,run,moon,brightly,moon
ENG10,Part of Speech,Noun_1,My sister has a pet _________. (Noun),kind,quickly,rabbit,jump,rabbit
ENG11,Part of Speech,Noun_1,"Pick out the Naming Word: ""The boy kicked the ball.""",fast,ran,kicked,boy,boy
ENG12,Part of Speech,Noun_1,"Pick out the Naming Word: ""The bird flew over the tree.""",flew,quickly,over,bird,bird
ENG13,Part of Speech,Noun_1,"Pick out the Naming Word: ""The teacher wrote on the board.""",wrote,teacher,neatly,on,teacher
ENG14,Part of Speech,Noun_1,"Pick out the Naming Word: ""The baby is sleeping.""",baby,quietly,sleeping,is,baby
ENG15,Part of Speech,Noun_1,"Pick out the Naming Word: ""The farmer works in the field.""",hard,farmer,works,in,farmer
ENG16,Part of Speech,Noun_1,Which word names a place?,run,jump,Dhaka,happy,Dhaka
ENG17,Part of Speech,Noun_1,Which word names a person?,blue,teacher,write,swim,teacher
ENG18,Part of Speech,Noun_1,Which word names an animal?,jump,fast,kind,tiger,tiger
ENG19,Part of Speech,Noun_1,Which word names a thing?,run,play,loudly,pencil,pencil
ENG20,Part of Speech,Noun_1,A noun is a _________ word.,doing,describing,joining,naming,naming
ENG21,Part of Speech,Noun_1,Which word is NOT a Noun?,teacher,school,run,book,run
ENG22,Part of Speech,Noun_1,Which word is NOT a Noun?,happy,cat,tree,boy,happy
ENG23,Part of Speech,Noun_1,Which word is a Naming Word?,car,sing,beautiful,quickly,car
ENG24,Part of Speech,Noun_1,Which word is a Naming Word?,elephant,kind,slowly,jump,elephant
ENG25,Part of Speech,Noun_1,Which word is a Naming Word?,hospital,run,blue,write,hospital
ENG26,Part of Speech,Noun_2,Which word is a Noun (Naming Word)?,hospital,sing,happy,quickly,hospital
ENG27,Part of Speech,Noun_2,Which word is a Noun (Naming Word)?,jump,run,elephant,blue,elephant
ENG28,Part of Speech,Noun_2,Which word is a Noun (Naming Word)?,bicycle,swim,slowly,kind,bicycle
ENG29,Part of Speech,Noun_2,Which word is a Noun (Naming Word)?,write,garden,loudly,fast,garden
ENG30,Part of Speech,Noun_2,Which word is a Noun (Naming Word)?,computer,beautiful,dance,quickly,computer
ENG31,Part of Speech,Noun_2,The _________ rang loudly at the end of class. (Noun),bell,happy,run,jump,bell
ENG32,Part of Speech,Noun_2,We crossed the _________ to reach the village. (Noun),sing,kind,bridge,slowly,bridge
ENG33,Part of Speech,Noun_2,The _________ carried our books to school. (Noun),fast,bag,blue,play,bag
ENG34,Part of Speech,Noun_2,I saw a _________ in the zoo. (Noun),happy,quickly,giraffe,run,giraffe
ENG35,Part of Speech,Noun_2,The _________ stopped at the station. (Noun),kind,train,jump,loudly,train
ENG36,Part of Speech,Noun_2,"Pick out the Naming Word: ""The girl drew a picture.""",beautifully,drew,girl,a,girl
ENG37,Part of Speech,Noun_2,"Pick out the Naming Word: ""The lion slept under a tree.""",slept,quietly,lion,under,lion
ENG38,Part of Speech,Noun_2,"Pick out the Naming Word: ""The doctor helped the patient.""",doctor,helped,carefully,the,doctor
ENG39,Part of Speech,Noun_2,"Pick out the Naming Word: ""The children played in the playground.""",children,in,happily,played,children
ENG40,Part of Speech,Noun_2,"Pick out the Naming Word: ""The ship sailed across the sea.""",ship,sailed,safely,across,ship
ENG41,Part of Speech,Noun_2,Which word names a place?,run,jump,city,kind,city
ENG42,Part of Speech,Noun_2,Which word names a person?,blue,nurse,write,quickly,nurse
ENG43,Part of Speech,Noun_2,Which word names an animal?,slowly,zebra,play,happy,zebra
ENG44,Part of Speech,Noun_2,Which word names a thing?,sing,clock,beautifully,run,clock
