id,Level,Topic,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData
1,1,Amazing Plants,A plant needs water to grow.,TRUE,FALSE,,,TRUE,MCQ,
2,1,Amazing Plants,Roots grow above the ground.,TRUE,FALSE,,,FALSE,MCQ,
3,1,Amazing Plants,Do leaves make food for the plant?,Yes,No,,,Yes,MCQ,
4,1,Amazing Plants,Which part of a plant absorbs water from the soil?,Root,Leaf,Flower,,Root,MCQ,
5,1,Amazing Plants,Which part of a plant usually has colorful petals?,Stem,Flower,Root,,Flower,MCQ,
6,1,Amazing Plants,Which part carries water from the roots to the leaves?,Stem,Fruit,Seed,Leaf,Stem,MCQ,
7,1,Amazing Plants,Which part contains seeds?,Leaf,Stem,Root,Fruit,Fruit,MCQ,
8,1,Amazing Plants,Which part makes food using sunlight?,Leaf,Flower,Root,Seed,Leaf,MCQ,
9,1,Amazing Plants,Match the plant parts with their jobs.,,,,,,Match,"[{""left"":""Root"",""right"":""Absorbs water""},{""left"":""Leaf"",""right"":""Makes food""},{""left"":""Flower"",""right"":""Makes seeds""},{""left"":""Stem"",""right"":""Supports plant""}]"
10,1,Amazing Plants,Match the plant parts with what they do.,,,,,,Match,"[{""left"":""Root"",""right"":""Holds the plant""},{""left"":""Stem"",""right"":""Carries water""},{""left"":""Leaf"",""right"":""Uses sunlight""},{""left"":""Fruit"",""right"":""Protects seeds""}]"
11,2,Amazing Plants,Plants grow from seeds.,TRUE,FALSE,,,TRUE,MCQ,
12,2,Amazing Plants,A seed grows into a flower first.,TRUE,FALSE,,,FALSE,MCQ,
13,2,Amazing Plants,Does a seed need water to grow?,Yes,No,,,Yes,MCQ,
14,2,Amazing Plants,What is the first stage of a plant's life cycle?,Seed,Flower,Fruit,,Seed,MCQ,
15,2,Amazing Plants,What grows out of a seed first?,Root,Leaf,Flower,,Root,MCQ,
16,2,Amazing Plants,Which comes after the seedling stage?,Fruit,Root,Adult Plant,Seed,Adult Plant,MCQ,
17,2,Amazing Plants,Which part of a mature plant makes seeds?,Leaf,Flower,Stem,Root,Flower,MCQ,
18,2,Amazing Plants,Which of these is the last stage in the simple plant life cycle?,Seedling,Fruit,Root,Seed,Fruit,MCQ,
19,2,Amazing Plants,Match the stages of a plant life cycle.,,,,,,Match,"[{""left"":""Seed"",""right"":""Beginning of a new plant""},{""left"":""Seedling"",""right"":""Young plant""},{""left"":""Adult Plant"",""right"":""Produces flowers""},{""left"":""Fruit"",""right"":""Contains seeds""}]"
20,2,Amazing Plants,Match the plant stage with its description.,,,,,,Match,"[{""left"":""Seed"",""right"":""Needs water to grow""},{""left"":""Root"",""right"":""Absorbs water""},{""left"":""Flower"",""right"":""Makes seeds""},{""left"":""Fruit"",""right"":""Protects the seeds""}]"
21,3,Amazing Plants,Some seeds are carried by the wind.,TRUE,FALSE,,,TRUE,MCQ,
22,3,Amazing Plants,All seeds fall and grow in the same place.,TRUE,FALSE,,,FALSE,MCQ,
23,3,Amazing Plants,Can animals help spread seeds?,Yes,No,,,Yes,MCQ,
24,3,Amazing Plants,Which of these can carry seeds to new places?,Wind,Rock,Chair,,Wind,MCQ,
25,3,Amazing Plants,Which animal may carry seeds on its fur?,Dog,Fish,Whale,,Dog,MCQ,
26,3,Amazing Plants,Which plant has seeds that can float on water?,Grass,Mango,Rose,Coconut,Coconut,MCQ,
27,3,Amazing Plants,Which helps a dandelion seed travel?,Snow,Stone,Fire,Wind,Wind,MCQ,
28,3,Amazing Plants,Why do plants spread seeds?,New places,Change color,Make noise,Sleep,New places,MCQ,
29,3,Amazing Plants,Match the seed dispersal method with the example.,,,,,,Match,"[{""left"":""Wind"",""right"":""Dandelion""},{""left"":""Water"",""right"":""Coconut""},{""left"":""Animals"",""right"":""Seeds stick to fur""},{""left"":""Explosion"",""right"":""Pea pod""}]"
30,3,Amazing Plants,Match the seed with how it travels.,,,,,,Match,"[{""left"":""Coconut"",""right"":""Water""},{""left"":""Dandelion"",""right"":""Wind""},{""left"":""Burdock"",""right"":""Animal fur""},{""left"":""Pea"",""right"":""Bursting pod""}]"
31,4,Amazing Plants,We get fruits from many plants.,TRUE,FALSE,,,TRUE,MCQ,
32,4,Amazing Plants,Wood comes from plastic.,TRUE,FALSE,,,FALSE,MCQ,
33,4,Amazing Plants,Do we get cotton from plants?,Yes,No,,,Yes,MCQ,
34,4,Amazing Plants,Which plant gives us rice?,Mango Tree,Rose Plant,Pine Tree,Rice Plant,Rice Plant,MCQ,
35,4,Amazing Plants,Which of these is a fruit plant?,Fern,Mango Tree,Grass,Rose Plant,Mango Tree,MCQ,
36,4,Amazing Plants,Which plant is used to make paper?,Bamboo,Lotus,Sunflower,Cactus,Bamboo,MCQ,
37,4,Amazing Plants,Which plant gives us cotton to make clothes?,Coconut Tree,Rose Plant,Apple Tree,Cotton Plant,Cotton Plant,MCQ,
38,4,Amazing Plants,Which plant gives us cooking oil?,Fern,Rose,Moss,Sunflower,Sunflower,MCQ,
39,4,Amazing Plants,Match the plant with what we get from it.,,,,,,Match,"[{""left"":""Mango Tree"",""right"":""Mango""},{""left"":""Cotton Plant"",""right"":""Cotton""},{""left"":""Bamboo"",""right"":""Paper""},{""left"":""Sunflower"",""right"":""Cooking oil""}]"
40,4,Amazing Plants,Match the plant to its use.,,,,,,Match,"[{""left"":""Rice Plant"",""right"":""Rice""},{""left"":""Rubber Tree"",""right"":""Rubber""},{""left"":""Tea Plant"",""right"":""Tea leaves""},{""left"":""Sugarcane"",""right"":""Sugar""}]"
41,5,Amazing Plants,Cactus plants can live in the desert.,TRUE,FALSE,,,TRUE,MCQ,
42,5,Amazing Plants,Lotus plants grow best in dry sand.,TRUE,FALSE,,,FALSE,MCQ,
43,5,Amazing Plants,Can water lilies grow in ponds?,Yes,No,,,Yes,MCQ,
44,5,Amazing Plants,Which plant grows well in the desert?,Rice Plant,Cactus,Lotus,Rose,Cactus,MCQ,
45,5,Amazing Plants,Which plant grows in water?,Cactus,Lotus,Pine Tree,Coconut Tree,Lotus,MCQ,
46,5,Amazing Plants,Why does a cactus have thick stems?,To store water,To catch fish,To make flowers,To make fruit,To store water,MCQ,
47,5,Amazing Plants,Which tree grows well in snowy places?,Coconut Tree,Mango Tree,Pine Tree,Banana Plant,Pine Tree,MCQ,
48,5,Amazing Plants,Which plant is commonly found in a rainforest?,Cactus,Fern,Cotton Plant,Coconut Tree,Fern,MCQ,
49,5,Amazing Plants,Match the plant with its habitat.,,,,,,Match,"[{""left"":""Cactus"",""right"":""Desert""},{""left"":""Lotus"",""right"":""Pond""},{""left"":""Pine Tree"",""right"":""Snowy Mountains""},{""left"":""Mangrove Tree"",""right"":""Coastal Swamp""}]"
50,5,Amazing Plants,Match the plant with its special feature.,,,,,,Match,"[{""left"":""Cactus"",""right"":""Stores water""},{""left"":""Lotus"",""right"":""Floats on water""},{""left"":""Pine Tree"",""right"":""Needle-like leaves""},{""left"":""Mangrove Tree"",""right"":""Roots above water""}]"
51,6,Amazing Plants: Review,Which part of a plant absorbs water from the soil?,Flower,Stem,Leaf,Root,Root,MCQ,
52,6,Amazing Plants: Review,Coconut seeds can float on water.,TRUE,FALSE,,,TRUE,MCQ,
53,6,Amazing Plants: Review,Do leaves use sunlight to make food?,Yes,No,,,Yes,MCQ,
54,6,Amazing Plants: Review,Which plant grows well in the desert?,Lotus,Fern,Cactus,Rice Plant,Cactus,MCQ,
55,6,Amazing Plants: Review,Which plant gives us cotton for making clothes?,Rose Plant,Mango Tree,Pine Tree,Cotton Plant,Cotton Plant,MCQ,
56,6,Amazing Plants: Review,Which part of a mature plant makes seeds?,Root,Leaf,Stem,Flower,Flower,MCQ,
57,6,Amazing Plants: Review,Why do plants spread seeds?,Make noise,Change color,Sleep,New places,New places,MCQ,
58,6,Amazing Plants: Review,Which part of a plant contains seeds?,Leaf,Fruit,Root,Stem,Fruit,MCQ,
59,6,Amazing Plants: Review,Match the plant with what we get from it.,,,,,,Match,"[{""left"":""Rice Plant"",""right"":""Rice""},{""left"":""Cotton Plant"",""right"":""Cotton""},{""left"":""Sunflower"",""right"":""Cooking oil""},{""left"":""Tea Plant"",""right"":""Tea leaves""}]"
60,6,Amazing Plants: Review,Match the plant with its habitat.,,,,,,Match,"[{""left"":""Cactus"",""right"":""Desert""},{""left"":""Lotus"",""right"":""Pond""},{""left"":""Pine Tree"",""right"":""Snowy Mountains""},{""left"":""Mangrove Tree"",""right"":""Coastal Swamp""}]"
61,7,Amazing Plants: Review,Plants grow from seeds.,TRUE,FALSE,,,TRUE,MCQ,
62,7,Amazing Plants: Review,Roots grow above the ground.,TRUE,FALSE,,,FALSE,MCQ,
63,7,Amazing Plants: Review,Can animals help spread seeds?,Yes,No,,,Yes,MCQ,
64,7,Amazing Plants: Review,Which part carries water from the roots to the leaves?,Stem,Seed,Flower,Leaf,Stem,MCQ,
65,7,Amazing Plants: Review,Which plant grows in water?,Lotus,Cotton Plant,Pine Tree,Cactus,Lotus,MCQ,
66,7,Amazing Plants: Review,Which helps a dandelion seed travel?,Fire,Snow,Stone,Wind,Wind,MCQ,
67,7,Amazing Plants: Review,Which plant is used to make paper?,Bamboo,Rose,Lotus,Cactus,Bamboo,MCQ,
68,7,Amazing Plants: Review,Why does a cactus have thick stems?,To catch fish,To make flowers,To store water,To make fruit,To store water,MCQ,
69,7,Amazing Plants: Review,Match the stages of a plant life cycle.,,,,,,Match,"[{""left"":""Seed"",""right"":""Beginning of a new plant""},{""left"":""Seedling"",""right"":""Young plant""},{""left"":""Adult Plant"",""right"":""Produces flowers""},{""left"":""Fruit"",""right"":""Contains seeds""}]"
70,7,Amazing Plants: Review,Match the seed with how it travels.,,,,,,Match,"[{""left"":""Coconut"",""right"":""Water""},{""left"":""Dandelion"",""right"":""Wind""},{""left"":""Burdock"",""right"":""Animal fur""},{""left"":""Pea"",""right"":""Bursting pod""}]"
71,8,Amazing Animals,A mammal feeds its babies with milk.,TRUE,FALSE,,,TRUE,MCQ,
72,8,Amazing Animals,Birds have scales instead of feathers.,TRUE,FALSE,,,FALSE,MCQ,
73,8,Amazing Animals,Can fish breathe underwater using gills?,Yes,No,,,Yes,MCQ,
74,8,Amazing Animals,Which of these is a mammal?,Dog,Eagle,Snake,Frog,Dog,MCQ,
75,8,Amazing Animals,Which of these is a bird?,Crocodile,Parrot,Shark,Tiger,Parrot,MCQ,
76,8,Amazing Animals,Which of these is a fish?,Eagle,Rabbit,Lizard,Goldfish,Goldfish,MCQ,
77,8,Amazing Animals,Which of these is a reptile?,Dolphin,Frog,Duck,Snake,Snake,MCQ,
78,8,Amazing Animals,Which of these is an amphibian?,Parrot,Frog,Lion,Horse,Frog,MCQ,
79,8,Amazing Animals,Match the animal group with the example.,,,,,,Match,"[{""left"":""Mammal"",""right"":""Elephant""},{""left"":""Bird"",""right"":""Eagle""},{""left"":""Fish"",""right"":""Goldfish""},{""left"":""Reptile"",""right"":""Snake""}]"
