id,Category,Set,Question,Option1,Option2,Option3,Option4,Correct_Option
BAN1,Culture,Level 1,What is the Bengali New Year called?,Pohela Boishakh,Victory Day,Eid Fair,Winter Day,Pohela Boishakh
BAN2,Culture,Level 1,Which month usually has Pohela Boishakh?,July,October,December,April,April
BAN3,Culture,Level 1,What traditional dress do many women wear?,Helmet,Kimono,Saree,Coat,Saree
BAN4,Culture,Level 1,What traditional dress do many men wear on festivals?,Panjabi,Spacesuit,Armor,Kimono,Panjabi
BAN5,Culture,Level 1,Which sweet food is popular in Bangladesh?,Nachos,Roshogolla,Pizza,Taco,Roshogolla
BAN6,Culture,Level 1,What is a common greeting during Eid?,Happy Snow,Good Rocket,Eid Mubarak,Red Moon,Eid Mubarak
BAN7,Culture,Level 1,Which musical instrument is common in folk music?,Engine,Laptop,Drill,Dotara,Dotara
BAN8,Culture,Level 1,What do people fly during some festivals?,Kites,Cars,Trains,Boats,Kites
BAN9,Culture,Level 1,Which meal is common with rice?,Bread only,Ice only,Chocolate only,Curry,Curry
BAN10,Culture,Level 1,What art is made on Pohela Boishakh processions?,Masks,Rockets,Helmets,Tires,Masks
BAN11,Culture,Level 1,Which language do most people speak in Bangladesh?,Bengali,French,Russian,Japanese,Bengali
BAN12,Culture,Level 1,Which flower is national flower of Bangladesh?,Rose,Lily of valley,Water Lily,Tulip,Water Lily
BAN13,Culture,Level 2,Which bird is national bird of Bangladesh?,Owl,Magpie Robin,Eagle,Penguin,Magpie Robin
BAN14,Culture,Level 2,What do children often wear on festivals?,Raincoats only,New clothes,Armor,School uniform only,New clothes
BAN15,Culture,Level 2,Which food is popular at breakfast?,Sandwich only,Pitha,Steak only,Sushi only,Pitha
BAN16,Culture,Level 2,What is pitha?,A car,Traditional cake,A game,A river,Traditional cake
BAN17,Culture,Level 2,Which season often has many village fairs?,Monsoon only,Summer only,Winter,,Winter
BAN18,Culture,Level 2,What do people decorate hands with at weddings?,Ink only,Paint mud,Glue,Mehendi,Mehendi
BAN19,Culture,Level 2,Which festival comes after Ramadan?,Buddha Purnima,Pohela Boishakh,Christmas,Eid-ul-Fitr,Eid-ul-Fitr
BAN20,Culture,Level 2,Which festival honors sacrifice in Islam?,River Day,Eid-ul-Adha,Tree Day,Book Day,Eid-ul-Adha
BAN21,Culture,Level 2,What do people often share with guests?,Hospitality,Stones,Dust,Thunder,Hospitality
BAN22,Culture,Level 2,Which craft uses bamboo and cane?,Basket making,Robot mining,Ship flying,Ice carving,Basket making
BAN23,Culture,Level 2,Which city is famous for jamdani saree nearby?,Nepal City,Snow Town,Desert Port,Dhaka,Dhaka
BAN24,Culture,Level 2,What do people enjoy at cultural programs?,Only homework,Only silence,Songs and dance,Only sleep,Songs and dance
BAN25,Culture,Level 2,Which value is important in Bangladeshi culture?,Noise,Respect for elders,Greed,Rudeness,Respect for elders
BAN26,Economy,Level 1,What is the currency of Bangladesh?,Yen,Rupee,Dollar,Taka,Taka
BAN27,Economy,Level 1,Which crop is most grown in Bangladesh?,Cocoa,Coffee,Rice,Olive,Rice
BAN28,Economy,Level 1,Which industry is famous in Bangladesh?,Ship rockets,Car making,Gold mining,Garments,Garments
BAN29,Economy,Level 1,People keep money in a?,School,Library,Park,Bank,Bank
BAN30,Economy,Level 1,What do farmers grow in fields?,Books,Computers,Rice and crops,Cars,Rice and crops
BAN31,Economy,Level 1,Which animal helps farmers plough fields in villages?,Tiger,Lion,Cow,Zebra,Cow
BAN32,Economy,Level 1,What do we call money paid for work?,Leaf,Rain,Salary,Prize,Salary
BAN33,Economy,Level 1,Which place is used to buy and sell things?,Hospital,Bridge,Market,Museum,Market
BAN34,Economy,Level 1,Tea gardens are famous in which area?,Pabna,Savar,Bhola,Sylhet,Sylhet
BAN35,Economy,Level 1,What do fishermen catch to sell?,Books,Fish,Bricks,Clouds,Fish
BAN36,Economy,Level 1,Which transport carries goods on rivers?,Rocket,Plane,Boat,Bicycle,Boat
BAN37,Economy,Level 1,What do workers make in garment factories?,Clothes,Trees,Roads,Clouds,Clothes
BAN38,Economy,Level 2,What is used to buy food?,Money,Paper clip,Water,Sand,Money
BAN39,Economy,Level 2,Which fruit is national fruit and also sold widely?,Apple,Jackfruit,Grape,Cherry,Jackfruit
BAN40,Economy,Level 2,Which city has a major seaport?,Rajshahi,Sherpur,Chattogram,Natore,Chattogram
BAN41,Economy,Level 2,What do shops sell?,Goods and items,Stars,Rivers,Mountains,Goods and items
BAN42,Economy,Level 2,Which job mainly grows crops?,Farmer,Artist,Pilot,Actor,Farmer
BAN43,Economy,Level 2,What do we call sending goods to other countries?,Import,Drawing,Export,Sleep,Export
BAN44,Economy,Level 2,What do we call bringing goods from other countries?,Import,Singing,Running,Export,Import
BAN45,Economy,Level 2,Which food grain is common in Bangladesh?,Snowcorn,Barley only,Rice,Olive,Rice
BAN46,Economy,Level 2,What helps people save money safely?,Bank,Forest,Lake,Cinema,Bank
BAN47,Economy,Level 2,Which small business sells bread and cakes?,Temple,Zoo,Bakery,Stadium,Bakery
BAN48,Economy,Level 2,Who drives a rickshaw to earn money?,Doctor,Poet,Rickshaw puller,Judge,Rickshaw puller
BAN49,Economy,Level 2,What do people use Taka for?,Catching fish only,Flying kites,Painting walls,Buying things,Buying things
BAN50,Economy,Level 2,Which work is linked with sewing clothes?,Fishing stars,Mining,Garments,Astronomy,Garments
BAN51,Famous Places,Level 1,Which place is the largest mangrove forest in Bangladesh?,Sundarbans,Bhawal Forest,Lawachara,Madhupur Forest,Sundarbans
BAN52,Famous Places,Level 1,Which sea beach in Bangladesh is famous for being very long?,Cox's Bazar,Kuakata,Patenga,Saint Martin,Cox's Bazar
BAN53,Famous Places,Level 1,Which island is famous for coral beauty in Bangladesh?,Bhola,Saint Martin,Hatia,Sandwip,Saint Martin
BAN54,Famous Places,Level 1,Where is the National Martyrs Memorial located?,Jessore,Savar,Rangpur,Sylhet,Savar
BAN55,Famous Places,Level 1,Which historic fort is located in Dhaka?,Ahsan Fort,Lalbagh Fort,Mainamati Fort,Sonargaon Gate,Lalbagh Fort
BAN56,Famous Places,Level 1,Which pink palace museum is in Dhaka?,Rose Castle,Ahsan Manzil,Curzon Hall,Liberty Palace,Ahsan Manzil
BAN57,Famous Places,Level 1,Which mosque is famous in Bagerhat?,Baitul Mukarram,Shahi Eidgah,Sixty Dome Mosque,Star Mosque,Sixty Dome Mosque
BAN58,Famous Places,Level 1,Which archaeological site is in Bogura?,Paharpur,Mahasthangarh,Lalmai,Mainamati,Mahasthangarh
