Subject,Level,Topic,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType
Math1,1,Addition,2 + 3 = _____; 2 + 4 = _____,,,,,5|6,FillBlank
Math2,1,Addition,1 + 4 = _____,,,,,5,FillBlank
Math3,1,Addition,5 + 2 = _____,,,,,7,FillBlank
Math4,1,Addition,3 + 6 = _____,,,,,9,FillBlank
Math5,1,Addition,4 + 4 = _____,,,,,8,FillBlank
Math6,1,Addition,2 + 2 = _____,,,,,4,FillBlank
Math7,1,Addition,3 + 3 = _____,,,,,6,FillBlank
Math8,1,Addition,4 + 4 = _____,,,,,8,FillBlank
Math9,1,Addition,5 + 5 = _____,,,,,10,FillBlank
Math10,1,Addition,6 + 6 = _____,,,,,12,FillBlank
Math11,1,Addition,7 + 7 = _____,,,,,14,FillBlank
Math12,1,Addition,8 + 8 = _____,,,,,16,FillBlank
Math13,1,Addition,9 + 9 = _____,,,,,18,FillBlank
Math14,2,Addition,2 + 3 = _____,,,,,5,FillBlank
Math15,2,Addition,3 + 4 = _____,,,,,7,FillBlank
Math16,2,Addition,4 + 5 = _____,,,,,9,FillBlank
Math17,2,Addition,5 + 6 = _____,,,,,11,FillBlank
Math18,2,Addition,6 + 7 = _____,,,,,13,FillBlank
Math19,2,Addition,7 + 8 = _____,,,,,15,FillBlank
Math20,2,Addition,8 + 9 = _____,,,,,17,FillBlank
Math21,2,Addition,2 + 4 = _____,,,,,6,FillBlank
Math22,2,Addition,3 + 5 = _____,,,,,8,FillBlank
Math23,2,Addition,4 + 6 = _____,,,,,10,FillBlank
Math24,3,Addition,8 + 4 = _____,,,,,12,FillBlank
Math25,3,Addition,2 + 7 = _____,,,,,9,FillBlank
Math26,3,Addition,9 + 5 = _____,,,,,14,FillBlank
Math27,3,Addition,6 + 3 = _____,,,,,9,FillBlank
Math28,3,Addition,7 + 9 = _____,,,,,16,FillBlank
Math29,3,Addition,5 + 8 = _____,,,,,13,FillBlank
Math30,3,Addition,4 + 7 = _____,,,,,11,FillBlank
Math31,3,Addition,2 + 8 = _____,,,,,10,FillBlank
Math32,3,Addition,6 + 9 = _____,,,,,15,FillBlank
Math33,3,Addition,3 + 8 = _____,,,,,11,FillBlank
Math34,3,Addition,5 + 7 = _____,,,,,12,FillBlank
Math35,3,Addition,4 + 9 = _____,,,,,13,FillBlank
Math36,3,Addition,2 + 6 = _____,,,,,8,FillBlank
