id,Level,Topic,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType
BAN1,1,Culture,What is the Bengali New Year called?,Pohela Boishakh,Victory Day,Eid Fair,Winter Day,Pohela Boishakh,MCQ
BAN2,1,Culture,Which month usually has Pohela Boishakh?,July,October,December,April,April,MCQ
BAN3,1,Culture,What traditional dress do many women wear?,Helmet,Kimono,Saree,Coat,Saree,MCQ
BAN4,1,Culture,What traditional dress do many men wear on festivals?,Panjabi,Spacesuit,Armor,Kimono,Panjabi,MCQ
BAN5,1,Culture,Which sweet food is popular in Bangladesh?,Nachos,Roshogolla,Pizza,Taco,Roshogolla,MCQ
BAN6,1,Culture,What is a common greeting during Eid?,Happy Snow,Good Rocket,Eid Mubarak,Red Moon,Eid Mubarak,MCQ
BAN7,1,Culture,Which musical instrument is common in folk music?,Engine,Laptop,Drill,Dotara,Dotara,MCQ
BAN8,1,Culture,What do people fly during some festivals?,Kites,Cars,Trains,Boats,Kites,MCQ
BAN9,1,Culture,Which meal is common with rice?,Bread only,Ice only,Chocolate only,Curry,Curry,MCQ
BAN10,1,Culture,What art is made on Pohela Boishakh processions?,Masks,Rockets,Helmets,Tires,Masks,MCQ
BAN11,1,Culture,Which language do most people speak in Bangladesh?,Bengali,French,Russian,Japanese,Bengali,MCQ
BAN12,1,Culture,Which flower is national flower of Bangladesh?,Rose,Lily of valley,Water Lily,Tulip,Water Lily,MCQ
BAN13,2,Culture,Which bird is national bird of Bangladesh?,Owl,Magpie Robin,Eagle,Penguin,Magpie Robin,MCQ
BAN14,2,Culture,What do children often wear on festivals?,Raincoats only,New clothes,Armor,School uniform only,New clothes,MCQ
BAN15,2,Culture,Which food is popular at breakfast?,Sandwich only,Pitha,Steak only,Sushi only,Pitha,MCQ
BAN16,2,Culture,What is pitha?,A car,Traditional cake,A game,A river,Traditional cake,MCQ
BAN17,2,Culture,Which season often has many village fairs?,Monsoon only,Summer only,Winter,,Winter,MCQ
BAN18,2,Culture,What do people decorate hands with at weddings?,Ink only,Paint mud,Glue,Mehendi,Mehendi,MCQ
BAN19,2,Culture,Which festival comes after Ramadan?,Buddha Purnima,Pohela Boishakh,Christmas,Eid-ul-Fitr,Eid-ul-Fitr,MCQ
BAN20,2,Culture,Which festival honors sacrifice in Islam?,River Day,Eid-ul-Adha,Tree Day,Book Day,Eid-ul-Adha,MCQ
BAN21,2,Culture,What do people often share with guests?,Hospitality,Stones,Dust,Thunder,Hospitality,MCQ
BAN22,2,Culture,Which craft uses bamboo and cane?,Basket making,Robot mining,Ship flying,Ice carving,Basket making,MCQ
BAN23,2,Culture,Which city is famous for jamdani saree nearby?,Nepal City,Snow Town,Desert Port,Dhaka,Dhaka,MCQ
BAN24,2,Culture,What do people enjoy at cultural programs?,Only homework,Only silence,Songs and dance,Only sleep,Songs and dance,MCQ
BAN25,2,Culture,Which value is important in Bangladeshi culture?,Noise,Respect for elders,Greed,Rudeness,Respect for elders,MCQ
BAN26,3,Economy,What is the currency of Bangladesh?,Yen,Rupee,Dollar,Taka,Taka,MCQ
BAN27,3,Economy,Which crop is most grown in Bangladesh?,Cocoa,Coffee,Rice,Olive,Rice,MCQ
BAN28,3,Economy,Which industry is famous in Bangladesh?,Ship rockets,Car making,Gold mining,Garments,Garments,MCQ
BAN29,3,Economy,People keep money in a?,School,Library,Park,Bank,Bank,MCQ
