Subject,Category,Set,Question,Option1,Option2,Option3,Option4,Correct_Option
Brain Boosting,Classification,Level 1,Which one is different?,Banana,Mango,Apple,Potato,Potato
Brain Boosting,Classification,Level 1,Which one is different?,Cow,Car,Dog,Cat,Car
Brain Boosting,Classification,Level 1,Which one is different?,Red,Blue,Green,Tiger,Tiger
Brain Boosting,Classification,Level 1,Which one is different?,Triangle,Circle,Square,Chair,Chair
Brain Boosting,Classification,Level 1,Which one is different?,Mango,Rose,Lily,Lotus,Mango
Brain Boosting,Classification,Level 1,Which one is different?,Monday,March,January,July,Monday
Brain Boosting,Classification,Level 1,Which one is different?,Pen,Banana,Eraser,Pencil,Banana
Brain Boosting,Classification,Level 1,Which one is different?,Shark,Whale,Sparrow,Fish,Sparrow
Brain Boosting,Classification,Level 1,Which one is different?,Apple,Bus,Car,Train,Apple
Brain Boosting,Classification,Level 1,Which one is different?,Table,Pant,Shoe,Shirt,Table
Brain Boosting,Classification,Level 1,Which one is different?,2,6,4,9,9
Brain Boosting,Classification,Level 1,Which one is different?,Sheep,Cow,Goat,Eagle,Eagle
Brain Boosting,Classification,Level 1,Which one is different?,Star,Sun,Moon,River,River
Brain Boosting,Classification,Level 1,Which one is different?,Spoon,Newspaper,Book,Notebook,Spoon
Brain Boosting,Classification,Level 1,Which one is different?,Rectangle,Circle,Oval,Apple,Apple
Brain Boosting,Classification,Level 1,Which one is different?,Milk,Wheat,Rice,Corn,Milk
Brain Boosting,Classification,Level 1,Which one is different?,Engineer,Doctor,Teacher,Tiger,Tiger
Brain Boosting,Classification,Level 1,Which one is different?,Water,Iron,Gold,Silver,Water
Brain Boosting,Classification,Level 1,Which one is different?,Cooking,Cricket,Tennis,Football,Cooking
Brain Boosting,Classification,Level 1,Which one is different?,Nose,Ear,Handbag,Eye,Handbag
Brain Boosting,Classification,Level 2,Which one is different?,Parrot,Crow,Butterfly,Sparrow,Butterfly
Brain Boosting,Classification,Level 2,Which one is different?,Rainy,Winter,Summer,Breakfast,Breakfast
Brain Boosting,Classification,Level 2,Which one is different?,5,22,10,15,22
Brain Boosting,Classification,Level 2,Which one is different?,Mouse,Pencil,Monitor,Keyboard,Pencil
Brain Boosting,Classification,Level 2,Which one is different?,Bangladesh,Dhaka,Japan,India,Dhaka
Brain Boosting,Classification,Level 2,Which one is different?,Tomato,Carrot,Apple,Potato,Apple
Brain Boosting,Classification,Level 2,Which one is different?,Lion,Eagle,Elephant,Tiger,Eagle
Brain Boosting,Classification,Level 2,Which one is different?,Table,Chair,Bed,Banana,Banana
Brain Boosting,Classification,Level 2,Which one is different?,Yellow,Cat,Purple,Orange,Cat
Brain Boosting,Classification,Level 2,Which one is different?,Mango,Orange,Guava,Carrot,Carrot
Brain Boosting,Classification,Level 2,Which one is different?,Pencil,Marker,Shoe,Pen,Shoe
Brain Boosting,Classification,Level 2,Which one is different?,Tuesday,December,Friday,Monday,December
Brain Boosting,Classification,Level 2,Which one is different?,Shark,Goat,Horse,Cow,Shark
Brain Boosting,Classification,Level 2,Which one is different?,Fork,Ball,Plate,Spoon,Ball
Brain Boosting,Classification,Level 2,Which one is different?,Asia,Mars,Jupiter,Earth,Asia
Brain Boosting,Classification,Level 2,Which one is different?,Bus,Train,House,Airplane,House
Brain Boosting,Classification,Level 2,Which one is different?,Hand,Ear,Eye,Book,Book
Brain Boosting,Classification,Level 2,Which one is different?,Juice,Stone,Milk,Water,Stone
Brain Boosting,Classification,Level 2,Which one is different?,Badminton,Football,Cricket,Dancing,Dancing
Brain Boosting,Classification,Level 2,Which one is different?,Spinach,Apple,Banana,Grapes,Spinach
Brain Boosting,Classification,Level 3,Which one is different?,Pilot,Nurse,Doctor,Teacher,Teacher
Brain Boosting,Classification,Level 3,Which one is different?,Diamond,Wood,Silver,Gold,Wood
Brain Boosting,Classification,Level 3,Which one is different?,Circle,Book,Square,Triangle,Book
Brain Boosting,Classification,Level 3,Which one is different?,7,4,2,6,7
Brain Boosting,Classification,Level 3,Which one is different?,Shirt,Pant,Car,Hat,Car
Brain Boosting,Classification,Level 3,Which one is different?,Bird,Butterfly,Cat,Bat,Cat
Brain Boosting,Classification,Level 3,Which one is different?,Winter,Monday,Summer,Spring,Monday
Brain Boosting,Classification,Level 3,Which one is different?,Apple,Printer,Mouse,Keyboard,Apple
Brain Boosting,Classification,Level 3,Which one is different?,Elephant,Red,Blue,Green,Elephant
Brain Boosting,Classification,Level 3,Which one is different?,Europe,Africa,Asia,Dhaka,Dhaka
Brain Boosting,Classification,Level 3,Which one is different?,Rabbit,Cat,Parrot,Dog,Parrot
Brain Boosting,Classification,Level 3,Which one is different?,Pencil,Notebook,Apple,Book,Apple
Brain Boosting,Classification,Level 3,Which one is different?,Moon,Star,Sun,Cloud,Cloud
Brain Boosting,Classification,Level 3,Which one is different?,Green,Red,Blue,Circle,Circle
Brain Boosting,Classification,Level 3,Which one is different?,Bicycle,Chair,Car,Bus,Chair
Brain Boosting,Classification,Level 3,Which one is different?,Rose,Tulip,Potato,Lotus,Potato
Brain Boosting,Classification,Level 3,Which one is different?,1,5,8,3,8
Brain Boosting,Classification,Level 3,Which one is different?,Tiger,Cow,Hen,Goat,Tiger
Brain Boosting,Classification,Level 3,Which one is different?,Book,Coffee,Juice,Tea,Book
Brain Boosting,Classification,Level 3,Which one is different?,Hand,Eye,Leg,Table,Table
Brain Boosting,Classification,Level 4,Which one is different?,Singing,Football,Cricket,Tennis,Singing
Brain Boosting,Classification,Level 4,Which one is different?,Copper,Gold,Iron,Plastic,Plastic
Brain Boosting,Classification,Level 4,Which one is different?,Mango,Apple,Banana,Pencil,Pencil
Brain Boosting,Classification,Level 4,Which one is different?,Lion,Teacher,Doctor,Engineer,Lion
Brain Boosting,Classification,Level 4,Which one is different?,Monday,April,February,January,Monday
Brain Boosting,Classification,Level 4,Which one is different?,Mars,Venus,Atlantic,Earth,Atlantic
Brain Boosting,Classification,Level 4,Which one is different?,Chair,Sofa,Table,Cat,Cat
Brain Boosting,Classification,Level 4,Which one is different?,Shoe,Shirt,Ball,Pant,Ball
Brain Boosting,Classification,Level 4,Which one is different?,Eagle,Crow,Fish,Sparrow,Fish
Brain Boosting,Classification,Level 4,Which one is different?,Rectangle,Orange,Square,Triangle,Orange
Brain Boosting,Classification,Level 4,Which one is different?,Stone,Egg,Bread,Rice,Stone
Brain Boosting,Classification,Level 4,Which one is different?,Monitor,Keyboard,Car,Mouse,Car
Brain Boosting,Classification,Level 4,Which one is different?,Bear,Tiger,Lion,Parrot,Parrot
Brain Boosting,Classification,Level 4,Which one is different?,35,30,20,10,35
Brain Boosting,Classification,Level 4,Which one is different?,Nepal,Bangladesh,India,Dhaka,Dhaka
Brain Boosting,Classification,Level 4,Which one is different?,Circle,Rectangle,Square,Triangle,Circle
Brain Boosting,Classification,Level 4,Which one is different?,Moon,Jupiter,Mars,Earth,Moon
Brain Boosting,Classification,Level 4,Which one is different?,9,2,5,3,9
Brain Boosting,Classification,Level 4,Which one is different?,Nitrogen,Oxygen,Carbon Dioxide,Gold,Gold
Brain Boosting,Classification,Level 4,Which one is different?,Mouse,Keyboard,Scanner,Printer,Keyboard
Brain Boosting,Classification,Level 5,Which one is different?,Shakespeare,Bangladesh,Einstein,Newton,Bangladesh
