id,Category,Set,Question,Option1,Option2,Option3,Option4,Correct_Option
HIST1,Bangladesh,Level 1,Who is known as the Father of the Nation of Bangladesh?,Begum Rokeya,Ziaur Rahman,Kazi Nazrul Islam,Sheikh Mujibur Rahman,Sheikh Mujibur Rahman
HIST2,Bangladesh,Level 1,Which day is celebrated on 26 March?,Victory Day,Republic Day,Independence Day,Language Day,Independence Day
HIST3,Bangladesh,Level 1,Which day is celebrated on 16 December?,Pohela Boishakh,Labour Day,Victory Day,Language Day,Victory Day
HIST4,Bangladesh,Level 1,Which movement took place in 1952?,Farmers Movement,River Movement,Student Sports Movement,Language Movement,Language Movement
HIST5,Bangladesh,Level 1,What language did people fight for in 1952?,Hindi,Arabic,English,Bengali,Bengali
HIST6,Bangladesh,Level 1,Where is the Shaheed Minar located?,Khulna,Rajshahi,Dhaka,Sylhet,Dhaka
HIST7,Bangladesh,Level 1,Which month is Victory Day celebrated?,June,December,January,March,December
HIST8,Bangladesh,Level 1,Who gave the historic 7 March speech?,Kazi Nazrul Islam,Dr Yunus,Sheikh Mujibur Rahman,Jasimuddin,Sheikh Mujibur Rahman
HIST9,Bangladesh,Level 1,Which country was Bangladesh part of before 1971?,Pakistan,Bhutan,India,Nepal,Pakistan
HIST10,Bangladesh,Level 1,Which war helped Bangladesh become free?,World War II,Border War,Liberation War,Cold War,Liberation War
HIST11,Bangladesh,Level 1,What is the National Martyrs Memorial built for?,Sports heroes,War martyrs,Farmers,Teachers,War martyrs
HIST12,Bangladesh,Level 1,In which city is the National Martyrs Memorial?,Rangpur,Savar,Sylhet,Cumilla,Savar
HIST13,Bangladesh,Level 2,Which day is International Mother Language Day?,16-Dec,14-Apr,26-Mar,21-Feb,21-Feb
HIST14,Bangladesh,Level 2,Why is 21 February important?,Victory Day,New Year,Language Movement remembrance,Harvest Day,Language Movement remembrance
HIST15,Bangladesh,Level 2,What was East Pakistan later named?,Sri Lanka,India,Bangladesh,Nepal,Bangladesh
HIST16,Bangladesh,Level 2,Which leader inspired people in 1971?,Begum Rokeya,Jagadish Bose,Atish Dipankar,Sheikh Mujibur Rahman,Sheikh Mujibur Rahman
HIST17,Bangladesh,Level 2,Which city was central to the Language Movement?,Khulna,Barishal,Rajshahi,Dhaka,Dhaka
HIST18,Bangladesh,Level 2,What does Victory Day celebrate?,Winning freedom,School opening,Planting trees,New year,Winning freedom
HIST19,Bangladesh,Level 2,How many months are between March and December in 1971 freedom year?,10,8,9,7,9
HIST20,Bangladesh,Level 2,Which monument honors language martyrs?,Lalbagh Fort,Ahsan Manzil,Shaheed Minar,Curzon Hall,Shaheed Minar
HIST21,Bangladesh,Level 2,Who are remembered on Victory Day?,Singers,Shopkeepers,War heroes,Athletes,War heroes
HIST22,Bangladesh,Level 2,Which flag became the flag of Bangladesh in 1971?,Green and red,Red and yellow,Black and white,Blue and white,Green and red
HIST23,Bangladesh,Level 2,What do we remember on Independence Day?,Freedom of Bangladesh,School games,Rainy season,Harvest fair,Freedom of Bangladesh
HIST24,Bangladesh,Level 2,Which city is the capital where many historic events happened?,Cox's Bazar,Bogra,Khagrachari,Dhaka,Dhaka
