id,Category,Set,Question,Option1,Option2,Option3,Option4,Correct_Option
MAT1,Addition,Level 1,What is 2 + 3 ?,4,5,6,7,5
MAT2,Addition,Level 1,What is 1 + 4 ?,3,4,5,6,5
MAT3,Addition,Level 1,What is 5 + 2 ?,6,7,8,9,7
MAT4,Addition,Level 1,What is 3 + 6 ?,8,9,10,11,9
MAT5,Addition,Level 1,What is 4 + 4 ?,6,7,8,9,8
MAT6,Addition,Level 1,What is 2 + 2 ?,3,4,5,6,4
MAT7,Addition,Level 1,What is 3 + 3 ?,5,6,7,8,6
MAT8,Addition,Level 1,What is 4 + 4 ?,6,7,8,9,8
MAT9,Addition,Level 1,What is 5 + 5 ?,8,9,10,11,10
MAT10,Addition,Level 1,What is 6 + 6 ?,10,11,12,13,12
MAT11,Addition,Level 1,What is 7 + 7 ?,12,13,14,15,14
MAT12,Addition,Level 1,What is 8 + 8 ?,14,15,16,17,16
MAT13,Addition,Level 1,What is 9 + 9 ?,16,17,18,19,18
MAT14,Addition,Level 2,What is 2 + 3 ?,4,5,6,7,5
MAT15,Addition,Level 2,What is 3 + 4 ?,6,7,8,9,7
MAT16,Addition,Level 2,What is 4 + 5 ?,8,9,10,11,9
MAT17,Addition,Level 2,What is 5 + 6 ?,10,11,12,13,11
MAT18,Addition,Level 2,What is 6 + 7 ?,12,13,14,15,13
MAT19,Addition,Level 2,What is 7 + 8 ?,14,15,16,17,15
MAT20,Addition,Level 2,What is 8 + 9 ?,16,17,18,19,17
MAT21,Addition,Level 2,What is 2 + 4 ?,5,6,7,8,6
MAT22,Addition,Level 2,What is 3 + 5 ?,7,8,9,10,8
MAT23,Addition,Level 2,What is 4 + 6 ?,9,10,11,12,10
MAT24,Addition,Level 3,What is 8 + 4 ?,11,12,13,14,12
MAT25,Addition,Level 3,What is 2 + 7 ?,8,9,10,11,9
MAT26,Addition,Level 3,What is 9 + 5 ?,13,14,15,16,14
MAT27,Addition,Level 3,What is 6 + 3 ?,8,9,10,11,9
MAT28,Addition,Level 3,What is 7 + 9 ?,15,16,17,18,16
MAT29,Addition,Level 3,What is 5 + 8 ?,12,13,14,15,13
MAT30,Addition,Level 3,What is 4 + 7 ?,10,11,12,13,11
MAT31,Addition,Level 3,What is 2 + 8 ?,9,10,11,12,10
MAT32,Addition,Level 3,What is 6 + 9 ?,14,15,16,17,15
MAT33,Addition,Level 3,What is 3 + 8 ?,10,11,12,13,11
MAT34,Addition,Level 3,What is 5 + 7 ?,11,12,13,14,12
MAT35,Addition,Level 3,What is 4 + 9 ?,12,13,14,15,13
MAT36,Addition,Level 3,What is 2 + 6 ?,7,8,9,10,8
MAT37,Addition,Level 3,What is 8 + 8 ?,15,16,17,18,16
MAT38,Addition,Level 3,What is 3 + 9 ?,11,12,13,14,12
MAT39,Addition,Level 4,Rina has 2 apples. Her mother gives her 3 more. How many apples does she have?,4,5,6,7,5
MAT40,Addition,Level 4,A boy has 4 balloons. He gets 5 more balloons. How many balloons does he have?,8,9,10,11,9
MAT41,Addition,Level 4,There are 6 birds on a tree. 2 more birds come. How many birds are there now?,7,8,9,10,8
MAT42,Addition,Level 4,A basket has 7 oranges. 3 more oranges are added. How many oranges are there?,9,10,11,12,10
MAT43,Addition,Level 4,A classroom has 5 girls and 6 boys. How many students are there?,10,11,12,13,11
MAT44,Addition,Level 4,Ali has 8 marbles. His friend gives him 4 more. How many marbles does Ali have?,11,12,13,14,12
MAT45,Addition,Level 4,A farmer has 9 cows and buys 5 more cows. How many cows does he have?,13,14,15,16,14
MAT46,Addition,Level 4,A shelf has 3 books. You put 8 more books on it. How many books are on the shelf now?,10,11,12,13,11
MAT47,Addition,Level 4,A box contains 2 toys. Another box contains 9 toys. How many toys are there altogether?,10,11,12,13,11
MAT48,Addition,Level 4,There are 7 flowers in one vase and 8 flowers in another vase. How many flowers are there in total?,14,15,16,17,15
MAT49,Addition,Level 5,? + 2 = 5,2,3,4,5,3
MAT50,Addition,Level 5,? + 3 = 7,2,3,4,5,4
MAT51,Addition,Level 5,? + 4 = 9,3,4,5,6,5
MAT52,Addition,Level 5,? + 5 = 11,4,5,6,7,6
MAT53,Addition,Level 5,? + 6 = 13,5,6,7,8,7
MAT54,Addition,Level 5,? + 7 = 15,6,7,8,9,8
MAT55,Addition,Level 5,? + 8 = 17,7,8,9,10,9
MAT56,Addition,Level 5,? + 9 = 18,8,9,10,11,9
MAT57,Addition,Level 5,2 + ? = 8,4,5,6,7,6
MAT58,Addition,Level 5,3 + ? = 10,5,6,7,8,7
MAT59,Addition,Level 5,4 + ? = 12,6,7,8,9,8
MAT60,Addition,Level 5,5 + ? = 14,7,8,9,10,9
MAT61,Addition,Level 5,6 + ? = 15,7,8,9,10,9
MAT62,Addition,Level 5,7 + ? = 16,7,8,9,10,9
MAT63,Addition,Level 5,8 + ? = 18,8,9,10,11,10
MAT64,Multiplication (2x),Level 1,What is 2 × 1 ?,1,2,3,4,2
MAT65,Multiplication (2x),Level 1,What is 2 × 2 ?,2,3,4,5,4
MAT66,Multiplication (2x),Level 1,What is 2 × 3 ?,4,5,6,7,6
MAT67,Multiplication (2x),Level 1,What is 2 × 4 ?,6,7,8,9,8
MAT68,Multiplication (2x),Level 1,What is 2 × 5 ?,8,9,10,11,10
MAT69,Multiplication (2x),Level 1,What is 2 × 6 ?,10,11,12,13,12
MAT70,Multiplication (2x),Level 1,What is 2 × 7 ?,12,13,14,15,14
MAT71,Multiplication (2x),Level 1,What is 2 × 8 ?,14,15,16,17,16
MAT72,Multiplication (2x),Level 1,What is 2 × 9 ?,16,17,18,19,18
MAT73,Multiplication (2x),Level 1,What is 2 × 10 ?,18,19,20,21,20
MAT74,Multiplication (2x),Level 2,What is 8 × 2 ?,14,15,16,17,16
MAT75,Multiplication (2x),Level 2,What is 1 × 2 ?,1,2,3,4,2
MAT76,Multiplication (2x),Level 2,What is 2 × 2 ?,2,3,4,5,4
MAT77,Multiplication (2x),Level 2,What is 5 × 2 ?,8,9,10,11,10
MAT78,Multiplication (2x),Level 2,What is 3 × 2 ?,4,5,6,7,6
MAT79,Multiplication (2x),Level 2,What is 4 × 2 ?,6,7,8,9,8
MAT80,Multiplication (2x),Level 2,What is 7 × 2 ?,12,13,14,15,14
MAT81,Multiplication (2x),Level 2,What is 9 × 2 ?,16,17,18,19,18
MAT82,Multiplication (2x),Level 2,What is 6 × 2 ?,10,11,12,13,12
MAT83,Multiplication (2x),Level 2,What is 10 × 2 ?,18,19,20,21,20
MAT84,Multiplication (2x),Level 3,There are 2 flowers in each vase. How many flowers are in 7 vases?,12,13,14,15,14
MAT85,Multiplication (2x),Level 3,There are 2 apples in each basket. How many apples are in 3 baskets?,4,5,6,7,6
MAT86,Multiplication (2x),Level 3,Each shelf holds 2 books. How many books are on 9 shelves?,16,17,18,19,18
MAT87,Multiplication (2x),Level 3,Each box has 2 chocolates. How many chocolates are in 5 boxes?,8,9,10,11,10
MAT88,Multiplication (2x),Level 3,A teacher gives 2 pencils to each of 4 students. How many pencils are given?,6,7,8,9,8
MAT89,Multiplication (2x),Level 3,A pair has 2 socks. How many socks are in 8 pairs?,14,15,16,17,16
MAT90,Multiplication (2x),Level 3,A bicycle has 2 wheels. How many wheels do 6 bicycles have?,10,11,12,13,12
MAT91,Multiplication (2x),Level 3,A shop sells 2 balloons every hour. How many balloons are sold in 10 hours?,18,19,20,21,20
MAT92,Multiplication (2x),Level 3,Each bag has 2 oranges. How many oranges are in 2 bags?,2,3,4,5,4
MAT93,Multiplication (2x),Level 3,There are 2 stars on each card. How many stars are on 1 card?,1,2,3,4,2
MAT94,Multiplication (3x),Level 1,What is 3 × 1 ?,2,3,4,5,3
MAT95,Multiplication (3x),Level 1,What is 3 × 2 ?,5,6,7,8,6
MAT96,Multiplication (3x),Level 1,What is 3 × 3 ?,8,9,10,11,9
MAT97,Multiplication (3x),Level 1,What is 3 × 4 ?,11,12,13,14,12
MAT98,Multiplication (3x),Level 1,What is 3 × 5 ?,14,15,16,17,15
MAT99,Multiplication (3x),Level 1,What is 3 × 6 ?,17,18,19,20,18
MAT100,Multiplication (3x),Level 1,What is 3 × 7 ?,20,21,22,23,21
MAT101,Multiplication (3x),Level 1,What is 3 × 8 ?,23,24,25,26,24
MAT102,Multiplication (3x),Level 1,What is 3 × 9 ?,26,27,28,29,27
MAT103,Multiplication (3x),Level 1,What is 3 × 10 ?,29,30,31,32,30
MAT104,Multiplication (3x),Level 2,What is 5 × 3 ?,14,15,16,17,15
MAT105,Multiplication (3x),Level 2,What is 1 × 3 ?,2,3,4,5,3
MAT106,Multiplication (3x),Level 2,What is 2 × 3 ?,5,6,7,8,6
MAT107,Multiplication (3x),Level 2,What is 4 × 3 ?,11,12,13,14,12
MAT108,Multiplication (3x),Level 2,What is 6 × 3 ?,17,18,19,20,18
MAT109,Multiplication (3x),Level 2,What is 9 × 3 ?,26,27,28,29,27
MAT110,Multiplication (3x),Level 2,What is 7 × 3 ?,20,21,22,23,21
MAT111,Multiplication (3x),Level 2,What is 3 × 3 ?,8,9,10,11,9
MAT112,Multiplication (3x),Level 2,What is 8 × 3 ?,23,24,25,26,24
MAT113,Multiplication (3x),Level 2,What is 10 × 3 ?,29,30,31,32,30
MAT114,Multiplication (3x),Level 3,There are 3 apples in each basket. How many apples are in 2 baskets?,5,6,7,8,6
