Id,Level,TopicHeading,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData
FENG1,1,Vocabulary : Beginner,Choose the synonym of happy.,Glad,Tired,Angry,Sad,Glad,MCQ,
FENG2,1,Vocabulary : Beginner,Choose the synonym of big.,Short,Tiny,Large,Little,Large,MCQ,
FENG3,1,Vocabulary : Beginner,Choose the synonym of quick.,Late,Fast,Heavy,Slow,Fast,MCQ,
FENG4,1,Vocabulary : Beginner,Choose the synonym of begin.,Start,Close,Stop,End,Start,MCQ,
FENG5,1,Vocabulary : Beginner,Choose the synonym of smart.,Lazy,Weak,Clever,Dull,Clever,MCQ,
FENG6,1,Vocabulary : Beginner,Choose the antonym of hot.,Warm,Cold,Soft,Bright,Cold,MCQ,
FENG7,1,Vocabulary : Beginner,Choose the antonym of tall.,High,Long,Wide,Short,Short,MCQ,
FENG8,1,Vocabulary : Beginner,Choose the antonym of clean.,Clear,Dirty,White,Fresh,Dirty,MCQ,
FENG9,1,Vocabulary : Beginner,Choose the antonym of open.,Wide,Loose,Close,Start,Close,MCQ,
FENG10,1,Vocabulary : Beginner,Match the synonyms.,,,,,,Match,"[{""left"":""Happy"",""right"":""Glad""},{""left"":""Big"",""right"":""Large""},{""left"":""Small"",""right"":""Tiny""},{""left"":""Fast"",""right"":""Quick""}]"
FENG11,2,Vocabulary : Beginner,Which word means a young dog?,Kitten,Calf,Foal,Puppy,Puppy,MCQ,
FENG12,2,Vocabulary : Beginner,Which word means a house for birds?,Nest,Hole,Tent,Hut,Nest,MCQ,
FENG13,2,Vocabulary : Beginner,Which word means a place to learn?,Station,Hospital,School,Market,School,MCQ,
FENG14,2,Vocabulary : Beginner,Which word means a person who teaches?,Driver,Doctor,Farmer,Teacher,Teacher,MCQ,
FENG15,2,Vocabulary : Beginner,What do we call a person who writes books?,Author,Pilot,Chef,Nurse,Author,MCQ,
FENG16,2,Vocabulary : Beginner,Which word means food eaten in the morning?,Dinner,Lunch,Supper,Breakfast,Breakfast,MCQ,
FENG17,2,Vocabulary : Beginner,Which word means water falling from clouds?,Snow,Dust,Rain,Wind,Rain,MCQ,
FENG18,2,Vocabulary : Beginner,Which word means a baby cat?,Lamb,Chick,Kitten,Puppy,Kitten,MCQ,
FENG19,2,Vocabulary : Beginner,Which word means the color of grass?,Blue,Green,Red,Black,Green,MCQ,
FENG20,2,Vocabulary : Beginner,Match the synonyms.,,,,,,Match,"[{""left"":""Begin"",""right"":""Start""},{""left"":""End"",""right"":""Finish""},{""left"":""Smart"",""right"":""Clever""},{""left"":""Beautiful"",""right"":""Pretty""}]"
FENG21,3,Vocabulary : Beginner,Choose the correct meaning of brave.,Courageous,Weak,Scared,Lazy,Courageous,MCQ,
FENG22,3,Vocabulary : Beginner,Choose the correct meaning of tiny.,Tall,Huge,Long,Small,Small,MCQ,
FENG23,3,Vocabulary : Beginner,Choose the correct meaning of empty.,Full,Nothing inside,Heavy,Sweet,Nothing inside,MCQ,
FENG24,3,Vocabulary : Beginner,Choose the word related to reading.,Book,Shoe,Plate,Spoon,Book,MCQ,
FENG25,3,Vocabulary : Beginner,Choose the word related to writing.,Bottle,Window,Pillow,Pencil,Pencil,MCQ,
FENG26,3,Vocabulary : Beginner,Choose the synonym of happy.,Glad,Angry,Sad,Tired,Glad,MCQ,
FENG27,3,Vocabulary : Beginner,Choose the synonym of big.,Large,Little,Tiny,Short,Large,MCQ,
FENG28,3,Vocabulary : Beginner,Choose the synonym of begin.,Close,End,Stop,Start,Start,MCQ,
FENG29,3,Vocabulary : Beginner,Choose the synonym of smart.,Dull,Weak,Lazy,Clever,Clever,MCQ,
FENG30,3,Vocabulary : Beginner,Match the antonyms.,,,,,,Match,"[{""left"":""Hot"",""right"":""Cold""},{""left"":""Up"",""right"":""Down""},{""left"":""Open"",""right"":""Close""},{""left"":""Day"",""right"":""Night""}]"
FENG31,4,Vocabulary : Beginner,Choose the antonym of hot.,Bright,Cold,Sharp,Warm,Cold,MCQ,
FENG32,4,Vocabulary : Beginner,Choose the antonym of tall.,Long,Short,High,Wide,Short,MCQ,
FENG33,4,Vocabulary : Beginner,Choose the antonym of clean.,Fresh,Dirty,White,Clear,Dirty,MCQ,
FENG34,4,Vocabulary : Beginner,Choose the antonym of open.,Close,Wide,Start,Loose,Close,MCQ,
