id,Category,Set,Question,Option1,Option2,Option3,Option4,Correct_Option
SCI1,Astronomy,Earth & Moon,What shape is Earth?,Round,Square,Flat,Triangle,Round
SCI2,Astronomy,Earth & Moon,What is Earth's natural satellite?,Venus,Sun,Moon,Mars,Moon
SCI3,Astronomy,Earth & Moon,How long does Earth take to rotate once?,24 hrs,48 hrs,12 hrs,365 days,24 hrs
SCI4,Astronomy,Earth & Moon,"Which planet is called the ""Blue Planet""?",Neptune,Mars,Earth,Venus,Earth
SCI5,Astronomy,Earth & Moon,What causes day and night?,Moon's orbit,Sun's movement,Clouds,Earth's rotation,Earth's rotation
SCI6,Astronomy,Earth & Moon,How many continents are on Earth?,5,7,6,8,7
SCI7,Astronomy,Earth & Moon,What is the largest ocean on Earth?,Atlantic,Pacific,Arctic,Indian,Pacific
SCI8,Astronomy,Earth & Moon,Which layer do we live on?,Inner core,Core,Mantle,Crust,Crust
SCI9,Astronomy,Earth & Moon,What causes ocean tides?,Rain,Moon's gravity,Earth's spin,Wind,Moon's gravity
SCI10,Astronomy,Earth & Moon,Which is Earth's closest star?,Moon,Sirius,Polaris,Sun,Sun
SCI11,Astronomy,Earth & Moon,How long does the Moon take to orbit Earth?,7 days,27 days,14 days,365 days,27 days
SCI12,Astronomy,Earth & Moon,What causes lunar phases?,Earth's shadow,Clouds,Sun's rotation,Moon's orbit,Moon's orbit
SCI13,Astronomy,Earth & Moon,What is a solar eclipse?,Earth blocks Sun,Stars block Sun,Sun blocks Moon,Moon blocks Sun,Moon blocks Sun
SCI14,Astronomy,Earth & Moon,What is a lunar eclipse?,Moon blocks Sun,Moon blocks Earth,Sun blocks Moon,Earth blocks Moon,Earth blocks Moon
SCI15,Astronomy,Earth & Moon,Which gas is most in Earth's atmosphere?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Nitrogen
SCI16,Astronomy,Earth & Moon,What is the Moon's surface covered with?,Rocks & dust,Grass,Water,Ice,Rocks & dust
SCI17,Astronomy,Earth & Moon,Which side of the Moon always faces Earth?,Far side,Near side,Changes,Both sides,Near side
SCI18,Astronomy,Earth & Moon,What is Earth's axis tilt?,90°,0°,45°,23.5°,23.5°
SCI19,Astronomy,Earth & Moon,Why do seasons occur?,Sun's movement,Earth's rotation,Earth's tilt,Moon's orbit,Earth's tilt
SCI20,Astronomy,Earth & Moon,What is the Moon's gravity compared to Earth?,Very Stronger,Stronger,Weaker,Same,Weaker
