Id,Level,Topic,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData
FBB1,1,Classification,Which one is different?,Banana,Apple,Potato,Mango,Potato,MCQ,
FBB2,1,Classification,Which one does not belong?,Dog,Cat,Car,Cow,Car,MCQ,
FBB3,1,Classification,Find the odd one out.,Red,Blue,Tiger,Green,Tiger,MCQ,
FBB4,1,Classification,Which one is not like the others?,Triangle,Chair,Square,Circle,Chair,MCQ,
FBB5,1,Classification,Pick the different one.,Mango,Lotus,Lily,Rose,Mango,MCQ,
FBB6,1,Classification,Which one is different?,July,Monday,January,March,Monday,MCQ,
FBB7,1,Classification,Which one does not belong?,Banana,Pen,Pencil,Eraser,Banana,MCQ,
FBB8,1,Classification,Find the odd one out.,Dolphan,Sparrow,Whale,Shark,Sparrow,MCQ,
FBB9,1,Classification,Which one is not like the others?,Bus,Car,Apple,Train,Apple,MCQ,
FBB10,1,Classification,Pick the different one.,Shirt,Shoe,Pant,Table,Table,MCQ,
FBB11,2,Classification,Which one is different?,4,2,9,6,9,MCQ,
FBB12,2,Classification,Which one does not belong?,Goat,Eagle,Sheep,Cow,Eagle,MCQ,
FBB13,2,Classification,Find the odd one out.,Moon,Sun,Star,Tree,Tree,MCQ,
FBB14,2,Classification,Which one is not like the others?,Newspaper,Notebook,Spoon,Book,Spoon,MCQ,
FBB15,2,Classification,Pick the different one.,Rectangle,Oval,Apple,Circle,Apple,MCQ,
FBB16,2,Classification,Which one is different?,Water,Juice,Milk,Rice,Rice,MCQ,
FBB17,2,Classification,Which one does not belong?,Tiger,Teacher,Doctor,Engineer,Tiger,MCQ,
FBB18,2,Classification,Find the odd one out.,Water,Wood,Gold,Iron,Water,MCQ,
FBB19,2,Classification,Which one is not like the others?,Football,Cooking,Cricket,Tennis,Cooking,MCQ,
FBB20,2,Classification,Pick the different one.,Handbag,Nose,Ear,Eye,Handbag,MCQ,
FBB21,3,Classification,Which one is different?,Butterfly,Parrot,Sparrow,Crow,Butterfly,MCQ,
FBB22,3,Classification,Which one does not belong?,Breakfast,Winter,Rainy,Summer,Breakfast,MCQ,
FBB23,3,Classification,Find the odd one out.,30,26,22,27,27,MCQ,
FBB24,3,Classification,Which one is not like the others?,Monitor,Keyboard,Pencil,Mouse,Pencil,MCQ,
FBB25,3,Classification,Pick the different one.,India,Dhaka,Bangladesh,Japan,Dhaka,MCQ,
FBB26,3,Classification,Which one is different?,Cabbage,Potato,Carrot,Apple,Apple,MCQ,
FBB27,3,Classification,Which one does not belong?,Tiger,Lion,Elephant,Eagle,Eagle,MCQ,
FBB28,3,Classification,Find the odd one out.,Chair,Table,Bed,Banana,Banana,MCQ,
FBB29,3,Classification,Which one is not like the others?,Purple,Cat,Yellow,Orange,Cat,MCQ,
FBB30,3,Classification,Pick the different one.,Mango,Carrot,Guava,Orange,Carrot,MCQ,
FBB31,4,Classification,Which one is different?,Pen,Pencil,Shoe,Marker,Shoe,MCQ,
FBB32,4,Classification,Which one does not belong?,Tuesday,December,Monday,Friday,December,MCQ,
FBB33,4,Classification,Find the odd one out.,Cow,Horse,Shark,Goat,Shark,MCQ,
FBB34,4,Classification,Which one is not like the others?,Ball,Spoon,Plate,Fork,Ball,MCQ,
