id,Level,Topic,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData
1,1,Amazing World,Which planet do we live on?,Earth,Mars,Jupiter,Venus,Earth,MCQ,
2,1,Amazing World,The Earth is our home planet.,TRUE,FALSE,,,TRUE,MCQ,
3,1,Amazing World,Is the Moon a planet?,Yes,No,,,No,MCQ,
4,1,Amazing World,What is the color of the sky on a clear day?,Blue,Green,Red,Yellow,Blue,MCQ,
5,1,Amazing World,How many continents are there on Earth?,7,5,6,8,7,MCQ,
6,1,Amazing World,The Sun is a star.,TRUE,FALSE,,,TRUE,MCQ,
7,1,Amazing World,Which is the largest continent?,Asia,Africa,Europe,Australia,Asia,MCQ,
8,1,Amazing World,Do people live on Earth?,Yes,No,,,Yes,MCQ,
9,1,Amazing World,Which is the largest ocean?,Pacific Ocean,Indian Ocean,Atlantic Ocean,Arctic Ocean,Pacific Ocean,MCQ,
10,1,Amazing World,Match each place with its type,,,,,,Match,"[{""left"":""Earth"",""right"":""Planet""},{""left"":""Sun"",""right"":""Star""},{""left"":""Asia"",""right"":""Continent""},{""left"":""Pacific"",""right"":""Ocean""}]"
11,2,Amazing World,Which shape is the Earth most like?,Round,Square,Triangle,Rectangle,Round,MCQ,
12,2,Amazing World,The Earth has land and water.,TRUE,FALSE,,,TRUE,MCQ,
13,2,Amazing World,Can people live on the Moon without special equipment?,Yes,No,,,No,MCQ,
14,2,Amazing World,Which is the biggest part of the Earth?,Water,Land,Sand,Forest,Water,MCQ,
15,2,Amazing World,How many oceans are there on Earth?,5,4,6,7,5,MCQ,
16,2,Amazing World,Asia is a continent.,TRUE,FALSE,,,TRUE,MCQ,
17,2,Amazing World,Which of these is a continent?,Africa,Pacific,Amazon,Nile,Africa,MCQ,
18,2,Amazing World,Do fish live in the ocean?,Yes,No,,,Yes,MCQ,
19,2,Amazing World,Which ocean is closest to Bangladesh?,Indian Ocean,Pacific Ocean,Atlantic Ocean,Arctic Ocean,Indian Ocean,MCQ,
20,2,Amazing World,Match each word with its meaning,,,,,,Match,"[{""left"":""Continent"",""right"":""Large land area""},{""left"":""Ocean"",""right"":""Large body of water""},{""left"":""Earth"",""right"":""Our home planet""},{""left"":""Sun"",""right"":""A star""}]"
21,3,Amazing World,Which continent is Bangladesh in?,Asia,Africa,Europe,Australia,Asia,MCQ,
22,3,Amazing World,The Pacific Ocean is larger than the Indian Ocean.,TRUE,FALSE,,,TRUE,MCQ,
23,3,Amazing World,Can we breathe underwater without special equipment?,Yes,No,,,No,MCQ,
24,3,Amazing World,Which is the smallest continent?,Australia,Asia,Africa,Europe,Australia,MCQ,
25,3,Amazing World,Which ocean is the smallest?,Arctic Ocean,Pacific Ocean,Indian Ocean,Atlantic Ocean,Arctic Ocean,MCQ,
26,3,Amazing World,The Earth moves around the Sun.,TRUE,FALSE,,,TRUE,MCQ,
27,3,Amazing World,Which of these is an ocean?,Atlantic Ocean,Asia,Africa,Europe,Atlantic Ocean,MCQ,
28,3,Amazing World,Does every continent have land?,Yes,No,,,Yes,MCQ,
29,3,Amazing World,Which continent is known as the largest?,Asia,Europe,Antarctica,Australia,Asia,MCQ,
30,3,Amazing World,Match each place with its category,,,,,,Match,"[{""left"":""Asia"",""right"":""Continent""},{""left"":""Atlantic"",""right"":""Ocean""},{""left"":""Earth"",""right"":""Planet""},{""left"":""Sun"",""right"":""Star""}]"
31,4,Amazing World,What does a flag represent?,A country,A food,A toy,A game,A country,MCQ,
32,4,Amazing World,Every country has its own national flag.,TRUE,FALSE,,,TRUE,MCQ,
33,4,Amazing World,Can two countries use exactly the same national flag?,Yes,No,,,No,MCQ,
34,4,Amazing World,Which country has a red circle on a green flag?,Bangladesh,Japan,India,Brazil,Bangladesh,MCQ,
35,4,Amazing World,The flag of Japan has a red circle.,TRUE,FALSE,,,TRUE,MCQ,
36,4,Amazing World,Which country has the Stars and Stripes flag?,United States,Canada,China,Italy,United States,MCQ,
37,4,Amazing World,Is a national flag a symbol of a country?,Yes,No,,,Yes,MCQ,
38,4,Amazing World,Which country has the Maple Leaf flag?,Canada,Mexico,France,Germany,Canada,MCQ,
39,4,Amazing World,The flag of Bangladesh has a green background.,TRUE,FALSE,,,TRUE,MCQ,
40,4,Amazing World,Match the country with a famous flag feature,,,,,,Match,"[{""left"":""Bangladesh"",""right"":""Red circle""},{""left"":""Japan"",""right"":""White flag with red circle""},{""left"":""Canada"",""right"":""Maple leaf""},{""left"":""United States"",""right"":""Stars and stripes""}]"
41,5,Amazing World,Which country is the Eiffel Tower in?,France,India,China,Canada,France,MCQ,
42,5,Amazing World,The Great Wall is in China.,TRUE,FALSE,,,TRUE,MCQ,
43,5,Amazing World,Is the Taj Mahal in India?,Yes,No,,,Yes,MCQ,
44,5,Amazing World,Which famous place is in Egypt?,Pyramids of Giza,Eiffel Tower,Big Ben,Statue of Liberty,Pyramids of Giza,MCQ,
45,5,Amazing World,The Statue of Liberty is in the United States.,TRUE,FALSE,,,TRUE,MCQ,
46,5,Amazing World,Which famous place is in Italy?,Colosseum,Great Wall,Sydney Opera House,Mount Fuji,Colosseum,MCQ,
47,5,Amazing World,Is Big Ben in the United Kingdom?,Yes,No,,,Yes,MCQ,
