Id,Level,TopicHeading,Question,Option1,Option2,Option3,Option4,Correct_Option,QuestionType,QuestionData
1,1,Cause and Effect,Why do we plant trees?,To remove all animals,To get oxygen and protect nature,To stop rain,To make the sky dark,To get oxygen and protect nature,MCQ,
2,1,Cause and Effect,Why do we plant trees?,To remove all animals,To get oxygen and protect nature,To stop rain,To make the sky dark,To get oxygen and protect nature,MCQ,
3,1,Cause and Effect,Why do we see lightning before hearing thunder?,Light travels faster than sound,Sound is stronger than light,Clouds stop sound,Thunder happens first,Light travels faster than sound,MCQ,
4,2,Number Patterns,"""Complete pattern: 2, 4, 6, _____""",,,,,8,Fillblank,
5,2,Prepositions,The cat is ____ the table.,on,in,beside,under,under,MCQ,cat.png
6,2,Prepositions,The backpack is ____ the door.,under,on,behind,beside,on,MCQ,room_preposition.png
7,3,Prepositions,The plant is ____ the window.,under,on,behind,beside,on,MCQ,room_preposition.png
8,3,Prepositions,The robot is ____ the box.,on,under,in,beside,in,MCQ,robot.png
9,3,Prepositions,The red toy car is ____ the rug.,on,in,under,beside,beside,MCQ,room_preposition.png
10,4,,,,,,,,Lesson,L001
11,4,Prepositions,The soccer ball is ____ the rug.,behind,under,on,in front of,in front of,MCQ,room_preposition.png
12,4,Prepositions,The books are ____ the lamp.,under,next to,in,behind,next to,MCQ,room_preposition.png
13,5,Prepositions,The green box is ____ the bed.,on,under,beside,in,under,MCQ,room_preposition.png
14,5,Prepositions,The globe is ____ the shelf.,under,on,behind,in,on,MCQ,under.png
15,5,Number Names,Who is it?,Kabboy,Abhik,Suman,Partho,Abhik,MCQ,abhik.png
16,6,Addition,Who is it?,Kabboy,Abhik,Suman,Partho,Abhik,MCQ,eye_anatomy_2.png
17,6,Subtraction,Match the subtraction sums with their answers,,,,,,Match,"[{""left"":""8 - 3"",""right"":""5""},{""left"":""9 - 4"",""right"":""5""},{""left"":""10 - 2"",""right"":""8""},{""left"":""7 - 3"",""right"":""4""}]"
